0.1.0	2012-05-18T23:11:56.439000+00:00
0.1.1	2012-05-22T14:37:24.301000+00:00
0.1.2	2012-05-23T22:07:09.937000+00:00
0.2.0	2012-06-11T02:21:27.719000+00:00
0.2.1	2012-06-11T08:15:27.535000+00:00
0.3.0	2012-10-07T17:44:36.428000+00:00
0.4.0	2013-01-21T21:06:57.826000+00:00
0.4.1	2014-12-15T16:00:19.916000+00:00
1.3.1	2016-07-28T16:32:17.329000+00:00
1.3.2	2016-08-02T23:27:42.035000+00:00
1.3.3	2016-08-10T11:09:39.987000+00:00
1.3.4	2016-08-23T10:50:42.594000+00:00
1.3.5	2016-09-02T07:57:18.244000+00:00
1.3.6	2016-09-14T07:18:46.295000+00:00
1.4.0	2016-09-15T07:25:36.907000+00:00
1.4.1	2016-09-22T11:25:49.509000+00:00
1.3.7	2016-09-27T10:03:30.522000+00:00
1.4.2	2016-09-30T12:23:01.465000+00:00
1.4.3	2016-10-06T10:08:01.790000+00:00
1.4.4	2016-10-20T02:23:44.429000+00:00
1.3.8	2016-10-20T07:11:51.081000+00:00
1.4.5	2016-11-01T17:34:44.938000+00:00
1.4.6	2016-11-09T21:26:32.985000+00:00
1.4.7	2016-11-16T18:46:56.667000+00:00
1.3.9	2016-11-16T20:57:04.133000+00:00
1.3.10	2016-11-22T19:19:33.952000+00:00
1.4.8	2016-11-22T23:46:16.565000+00:00
1.3.11	2016-11-23T22:07:24.444000+00:00
1.4.9	2016-11-23T23:50:49.542000+00:00
1.3.12	2016-11-28T20:49:25.362000+00:00
1.4.10	2016-11-28T22:12:56.360000+00:00
1.3.13	2016-12-06T23:53:14.771000+00:00
1.4.11	2016-12-07T18:03:39.265000+00:00
1.4.12	2016-12-10T06:47:29.088000+00:00
1.4.13	2016-12-20T21:09:22.800000+00:00
1.4.14	2017-01-10T20:45:12.738000+00:00
1.4.15	2017-01-19T18:10:34.131000+00:00
1.5.0	2017-01-24T18:20:26.488000+00:00
1.5.1	2017-02-06T18:00:20.521000+00:00
1.6.0	2017-02-07T02:23:24.266000+00:00
1.6.1	2017-02-21T18:24:32.445000+00:00
1.6.2	2017-03-01T20:06:46.141000+00:00
1.6.3	2017-03-07T19:32:39.600000+00:00
1.3.14	2017-03-14T18:47:52.966000+00:00
1.6.4	2017-03-22T23:06:08.454000+00:00
1.6.5	2017-03-31T20:32:13.713000+00:00
1.4.16	2017-04-05T17:34:19.957000+00:00
1.6.6	2017-04-07T20:04:13.286000+00:00
1.6.7	2017-04-18T20:58:25.795000+00:00
1.3.15	2017-04-21T00:04:48.703000+00:00
1.6.8	2017-05-01T22:56:36.112000+00:00
1.6.9	2017-05-10T16:39:40.473000+00:00
1.7.0	2017-05-10T19:58:28.630000+00:00
1.6.10	2017-05-16T19:37:43.428000+00:00
1.7.1	2017-05-16T21:41:46.219000+00:00
1.6.11	2017-05-25T19:52:42.265000+00:00
1.7.2	2017-05-26T20:39:13.962000+00:00
1.7.3	2017-06-08T22:46:08.005000+00:00
1.7.4	2017-06-28T23:47:30.806000+00:00
1.7.5	2017-07-17T22:12:34.592000+00:00
1.6.12	2017-08-03T23:31:22.757000+00:00
1.7.6	2017-08-09T19:39:37.549000+00:00
1.7.7	2017-08-30T20:59:09.580000+00:00
1.8.0	2017-08-31T23:13:08.025000+00:00
1.6.13	2017-09-06T19:56:50.304000+00:00
1.7.8	2017-09-24T03:09:58.453000+00:00
1.6.14	2017-09-28T01:26:31.769000+00:00
1.8.1	2017-09-29T00:26:37.930000+00:00
1.7.9	2017-10-10T21:03:29.608000+00:00
1.6.15	2017-10-11T17:58:49.577000+00:00
1.8.2-beta.1	2017-10-19T16:49:06.512000+00:00
1.8.2-beta.2	2017-11-06T21:24:43.087000+00:00
1.8.2-beta.3	2017-12-05T02:14:22.762000+00:00
1.7.10	2017-12-18T20:44:17.549000+00:00
1.7.11	2018-01-22T22:28:51.430000+00:00
1.6.16	2018-01-23T01:18:36.559000+00:00
1.8.2-beta.4	2018-01-23T03:39:04.907000+00:00
1.8.2-beta.5	2018-01-31T22:07:40.125000+00:00
1.7.12	2018-01-31T22:15:48.454000+00:00
1.6.17	2018-01-31T22:26:38.132000+00:00
1.8.2	2018-02-07T01:45:29.385000+00:00
2.0.0-beta.1	2018-02-21T21:26:19.162000+00:00
2.0.0-beta.2	2018-03-05T20:08:37.874000+00:00
1.8.3	2018-03-06T01:46:05.864000+00:00
2.0.0-beta.3	2018-03-09T17:17:18.925000+00:00
1.7.13	2018-03-15T16:14:30.271000+00:00
2.0.0-beta.4	2018-03-15T17:14:25.170000+00:00
1.8.4	2018-03-16T18:49:23.856000+00:00
2.0.0-beta.5	2018-03-20T21:10:19.840000+00:00
2.0.0-beta.6	2018-03-27T20:57:58.737000+00:00
2.0.0-beta.7	2018-04-03T20:51:57.134000+00:00
2.0.0-beta.8	2018-04-26T16:13:52.284000+00:00
1.8.5	2018-04-26T18:34:59.582000+00:00
1.7.14	2018-04-27T00:50:49.737000+00:00
1.8.6	2018-04-27T00:58:04.312000+00:00
2.0.0	2018-05-01T20:46:57.608000+00:00
1.6.18	2018-05-15T19:32:40.736000+00:00
